"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","PRCP_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"TS000060765","GABES, TS","33.88","10.1","4.0","1960-10-12",,,,,"20.4","H,,S",,,,
"TS000060765","GABES, TS","33.88","10.1","4.0","1960-10-14",,,,,"20.4","H,,S",,,,
"TS000060765","GABES, TS","33.88","10.1","4.0","1960-10-16",,,,,"21.9","H,,S",,,"16.1",",,I"
"TS000060765","GABES, TS","33.88","10.1","4.0","1960-10-23",,,,,"22.8","H,,S",,,,
"TS000060765","GABES, TS","33.88","10.1","4.0","1960-10-24",,,,,"25.4","H,,S",,,,
"TS000060765","GABES, TS","33.88","10.1","4.0","1960-10-25",,,,,"25.6","H,,S",,,,
"TS000060765","GABES, TS","33.88","10.1","4.0","1960-10-26",,,,,"25.4","H,,S",,,,
"TS000060765","GABES, TS","33.88","10.1","4.0","1960-10-29",,,,,"23.8","H,,S",,,,
"TS000060765","GABES, TS","33.88","10.1","4.0","1960-10-31",,,,,"19.0","H,,S",,,,
"TS000060765","GABES, TS","33.88","10.1","4.0","1960-11-01",,,,,"22.4","H,,S",,,,
"TS000060765","GABES, TS","33.88","10.1","4.0","1960-12-09",,,,,"13.1","H,,S",,,,
"TS000060765","GABES, TS","33.88","10.1","4.0","1960-12-16",,,,,"15.7","H,,S",,,,
"TS000060765","GABES, TS","33.88","10.1","4.0","1960-12-25",,,,,"8.9","H,,S",,,,
"TS000060765","GABES, TS","33.88","10.1","4.0","1960-12-28",,,,,"11.9","H,,S",,,,
"TS000060765","GABES, TS","33.88","10.1","4.0","1960-12-29",,,,,"11.0","H,,S",,,,
"TS000060765","GABES, TS","33.88","10.1","4.0","1961-01-01",,,,,"13.6","H,,S",,,,
"TS000060765","GABES, TS","33.88","10.1","4.0","1961-01-04",,,,,"11.8","H,,S",,,,
"TS000060765","GABES, TS","33.88","10.1","4.0","1961-01-05",,,,,"8.6","H,,S",,,,
"TS000060765","GABES, TS","33.88","10.1","4.0","1961-01-07",,,,,"11.4","H,,S",,,,
"TS000060765","GABES, TS","33.88","10.1","4.0","1961-01-09",,,,,"14.2","H,,S",,,,
"TS000060765","GABES, TS","33.88","10.1","4.0","1961-01-10",,,,,"13.1","H,,S","18.9",",,I",,
"TS000060765","GABES, TS","33.88","10.1","4.0","1961-01-12",,,,,"10.0","H,,S",,,,
"TS000060765","GABES, TS","33.88","10.1","4.0","1961-01-13",,,,,"13.5","H,,S",,,"6.1",",,I"
"TS000060765","GABES, TS","33.88","10.1","4.0","1961-01-15",,,,,"12.7","H,,S",,,"8.9",",,I"
"TS000060765","GABES, TS","33.88","10.1","4.0","1961-01-16",,,,,"11.4","H,,S",,,,
"TS000060765","GABES, TS","33.88","10.1","4.0","1961-01-18",,,,,"9.7","H,,S",,,"7.2",",,I"
"TS000060765","GABES, TS","33.88","10.1","4.0","1961-01-19",,,,,"10.4","H,,S",,,,
"TS000060765","GABES, TS","33.88","10.1","4.0","1961-01-20",,,,,"9.4","H,,S",,,,
